phase,step,avg_logprob,min_logprob,avg_entropy,perplexity,latency_ms,memory_kb,params,d_model,n_layers,vocab_size,head_specialization,generation_quality,notes
1,0,-5.20,-8.50,2.31,181.3,55.0,6348,1530000,64,1,256,0.12,0,FP32 baseline | char-level tokenizer
2,100,-5.18,-8.45,2.29,177.2,54.2,6348,1530000,64,1,256,0.13,0,MatMul profiling added
3,200,-4.95,-7.80,2.15,141.2,42.1,7065,1530000,64,1,256,0.18,0,KV Cache (ring buffer) + static alloc
4,300,-4.72,-7.20,2.08,112.3,38.5,5427,1240000,64,1,256,0.22,0,Weight Tying (-19% params)
5,400,-4.65,-7.05,2.01,104.6,31.2,3994,1240000,64,1,256,0.28,0,INT8 Attention quantization
6,500,-4.58,-6.90,1.94,97.5,24.3,3174,1240000,64,1,256,0.31,0,INT8 FFN quantization
7,600,-4.21,-6.20,1.78,67.4,18.1,2253,1240000,64,1,256,0.38,1,SwiGLU + RMSNorm + RoPE + GQA
8,700,-4.05,-5.95,1.68,57.4,15.2,2048,1240000,64,1,256,0.42,1,Fused QKV projection
9,800,-4.02,-5.88,1.64,55.8,14.8,2048,1240000,64,1,256,0.44,1,Multi-head visualization
10,900,-3.95,-5.72,1.42,52.0,14.5,2048,1240000,64,1,256,0.48,1,Entropy-based analysis
11,1000,-3.82,-5.45,1.38,45.6,12.8,2457,1240000,128,2,2048,0.52,1,GQA + BPE tokenizer + fused QKV
12,1500,-3.42,-4.90,1.25,30.6,11.5,2457,1240000,128,2,2048,0.58,1,Label smoothing + INT8 KV cache
13,2000,-2.85,-4.20,1.12,17.3,9.8,1843,1246336,128,4,2048,0.65,1,4-layer scale-up + FP16 KV + entropy decode
14,2500,-2.62,-3.95,1.05,13.7,8.5,1843,1246336,128,4,2048,0.71,1,Cognitive controller + RAG pipeline
15,3000,-2.44,-3.70,0.98,11.5,7.2,1843,1246336,128,4,2048,0.76,1,QAT + LoRA-style + KV eviction
16,3150,-1.99,-12.27,1.61,7.35,1.2,4868,1246336,128,4,2048,0.70,2,Clean dataset retrain (overfitted) | OptimizedKVCache | AdamW + cosine LR + grad clip
