phase,avg_logprob,min_logprob,avg_entropy,perplexity,latency_ms,memory_kb,matmul_ops,head_specialization,notes
1,-5.20,-8.50,2.31,181.3,55.0,6348,1530,0.12,FP32 baseline
2,-5.18,-8.45,2.29,177.2,54.2,6348,1530,0.13,MatMul logging
3,-4.95,-7.80,2.15,141.2,42.1,7065,1224,0.18,KV Cache
4,-4.72,-7.20,2.08,112.3,38.5,5427,1020,0.22,Weight Tying (-19% params)
5,-4.65,-7.05,2.01,104.6,31.2,3994,918,0.28,INT8 Attention
6,-4.58,-6.90,1.94,97.5,24.3,3174,867,0.31,INT8 FFN
7,-4.21,-6.20,1.78,67.4,18.1,2253,612,0.38,Low-Rank FFN
8,-4.05,-5.95,1.68,57.4,15.2,2048,510,0.42,QKV Fusion
9,-4.02,-5.88,1.64,55.8,14.8,2048,510,0.44,Multi-Head Viz
10,-3.95,-5.72,1.42,52.0,14.5,2048,510,0.48,Entropy Analysis
11,-3.82,-5.45,1.38,45.6,12.8,2457,459,0.52,GQA+BPE+Fused QKV (-40% MatMul)
12,-3.42,-4.90,1.25,30.6,11.5,2457,459,0.58,Label Smoothing + INT8 KV
13,-2.85,-4.20,1.12,17.3,9.8,1843,408,0.65,FFN 2.5x + FP16 KV + Entropy Decode
14,-2.62,-3.95,1.05,13.7,8.5,1843,408,0.71,Cognitive Controller
15,-2.44,-3.70,0.98,11.5,7.2,1843,408,0.76,QAT + LoRA + KV Eviction
